Sub-especialidades,Especialidade,Prioridade,Demanda,Deficit passado,Precisa anestesista,,Especialidades
C PED,C PED,1,13,0,1,,C PED
C PED (*),C PED,1,1,0,1,,C PLAST
PLAST,C PLAST,1,24,0,1,,C TORAX
PLAST (*),C PLAST,1,1,0,1,,C TRAUMA
C TORAX,C TORAX,1,12,0,1,,CAB PESC
C TRAUMA,C TRAUMA,1,2,0,1,,CCARD
CAB PESC,CAB PESC,1,14,0,1,,EDA Adulto
CCARD,CCARD,1,37,0,1,,EDA Infantil
EDA ADULTO,EDA Adulto,1,5,0,1,,EEF
EDA Infantil,EDA Infantil,1,7,0,1,,Gastrocirurgia
EEF,EEF,1,2,0,1,,Local
GAST FIG,Gastrocirurgia,1,13,0,1,,NEURO
GAST   GDP/VB,Gastrocirurgia,1,11,0,1,,Oftalmo
GAST EED,Gastrocirurgia,1,17,0,1,,ORL
GAST  OBES,Gastrocirurgia,1,12,0,1,,Ortopedia
Anestesia Dor,Local,1,2,0,0,,PROCTO
MARCAP Local,Local,1,7,0,0,,Urologia
VASC LOCAL,Local,1,13,0,0,,VASC
EEF  Local,Local,1,2,0,0,,
MARCAP,Local,1,1,0,1,,
NEURO,NEURO,1,38,0,1,,
NEURO COLU,NEURO,1,10,0,1,,
TMO,NEURO,1,2,0,1,,
Oftalmo,Oftalmo,1,9,0,1,,
ORL,ORL,1,37,0,1,,
ORT Tumor,Ortopedia,1,10,0,1,,
ORT Pé,Ortopedia,1,3,0,1,,
ORT TRAUMA,Ortopedia,1,20,0,1,,
ORT JOELHO,Ortopedia,1,8,0,1,,
ORT TRAUMA (*),Ortopedia,1,1,0,1,,
ORT INF,Ortopedia,1,3,0,1,,
ORT Mão,Ortopedia,1,5,0,1,,
ORT Quadril,Ortopedia,1,2,0,1,,
ORT COLUNA,Ortopedia,1,2,0,1,,
ORT OMBRO,Ortopedia,1,1,0,1,,
PROCTO,PROCTO,1,17,0,1,,
URO Onco,Urologia,1,10,0,1,,
URO Func,Urologia,1,5,0,1,,
URO Andro,Urologia,1,4,0,1,,
URO litiase,Urologia,1,6,0,1,,
URO GINECO,Urologia,1,3,0,1,,
URO Infantil,Urologia,1,3,0,1,,
URO TX,Urologia,1,2,0,1,,
VASC,VASC,1,22,0,1,,
