dia,bloco_semana_id,C PED,PLAST,C TORAX,C TRAUMA,CAB PESC,CCARD,EDA ADULTO,EDA Infantil,EEF,GAST FIG,GAST GDP/VB,GAST EED,GAST OBES,Anestesia Dor,MARCAP Local,VASC LOCAL,EEF Local,MARCAP,NEURO,NEURO COLU,TMO,Oftalmo,ORL,ORT Tumor,ORT Pé,ORT TRAUMA,ORT JOELHO,ORT INF,ORT Mão,ORT Quadril,ORT COLUNA,ORT OMBRO,PROCTO,URO Onco,URO Func,URO Andro,URO litiase,URO GINECO,URO Infantil,URO TX,VASC
segunda-feira,b11,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,1
,b12,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
terça-feira,b21,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,1,1,0,0,0,0,0,1,1,0,0,0,2,0
,b22,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
quarta-feira,b31,1,2,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,b32,1,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
quinta-feira,b41,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,b42,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
sexta-feira,b51,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0
,b52,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
