dia do mes,dia da semana,bloco_id,Anestesistas estatutários,Anestesistas PJ,Anestesistas - total
2,quinta-feira,b11_01,4,8,12
,,b12_02,4,8,12
3,sexta-feira,b21_03,6,3,9
,,b22_04,4,2,6
6,segunda-feira,b31_05,6,4,10
,,b32_06,4,6,10
7,terça-feira,b41_07,7,5,12
,,b42_08,5,3,8
8,quarta-feira,b51_09,5,7,12
,,b52_10,5,7,12
9,quinta-feira,b11_11,5,8,13
,,b12_12,4,8,12
10,sexta-feira,b21_13,6,4,10
,,b22_14,4,2,6
13,segunda-feira,b31_15,3,4,7
,,b32_16,3,4,7
14,terça-feira,b41_17,7,5,12
,,b42_18,4,3,7
15,quarta-feira,b51_19,6,6,12
,,b52_20,5,7,12
16,quinta-feira,b11_21,5,6,11
,,b12_22,4,7,11
17,sexta-feira,b21_23,6,3,9
,,b22_24,4,2,6
20,segunda-feira,b31_25,3,3,6
,,b32_26,3,6,9
21,terça-feira,b41_27,7,4,11
,,b42_28,5,3,8
22,quarta-feira,b51_29,5,6,11
,,b52_30,5,7,12
23,quinta-feira,b11_31,6,8,14
,,b12_32,4,9,13
24,sexta-feira,b21_33,5,4,9
,,b22_34,3,4,7
27,segunda-feira,b31_35,3,4,7
,,b32_36,3,5,8
28,terça-feira,b41_37,5,5,10
,,b42_38,3,4,7
29,quarta-feira,b51_39,6,6,12
,,b52_40,4,6,10
Total,,,,,392
