,Specialty,Number of Blocks
0,Anestesia Dor,2
1,C PED,14
2,C TORAX,12
3,C TRAUMA,2
4,CAB PESC,14
5,CCARD,37
6,EDA ADULTO,5
7,EDA Infantil,7
8,EEF,2
9,EEF Local,2
10,GAST EED,17
11,GAST FIG,13
12,GAST GDP/VB,11
13,GAST OBES,12
14,MARCAP,1
15,MARCAP Local,7
16,NEURO,38
17,NEURO COLU,10
18,Oftalmo,9
19,ORL,37
20,ORT COLUNA,2
21,ORT INF,3
22,ORT JOELHO,8
23,ORT Mão,5
24,ORT OMBRO,1
25,ORT Pé,3
26,ORT Quadril,2
27,ORT TRAUMA,21
28,ORT Tumor,10
29,PLAST,25
30,PROCTO,17
31,TMO,2
32,URO Andro,4
33,URO Func,5
34,URO GINECO,3
35,URO Infantil,3
36,URO litiase,6
37,URO Onco,10
38,URO TX,2
39,VASC,22
40,VASC LOCAL,13
41,Empty blocks,419
