,1,2,3,4,5,6,7,8,9,10,11,12,17,CCA_1,CCA_2
b11_01,CCARD,ORT COLUNA,,C TRAUMA,,C PED,ORT JOELHO,GAST FIG,ORL,Anestesia Dor,NEURO,VASC LOCAL,,,
b12_02,CCARD,MARCAP Local,,,URO Onco,GAST   GDP/VB,PROCTO,VASC LOCAL,ORL,GAST  OBES,NEURO,,VASC,,
b21_03,CCARD,URO TX,PLAST,GAST EED,ORL,ORT Pé,ORT TRAUMA,ORT INF,GAST EED,URO Andro,NEURO,,,,
b22_04,CCARD,ORT Quadril,,,,,ORL,GAST EED,PLAST,GAST EED,,,,,
b31_05,CCARD,C TORAX,ORT JOELHO,C PED,VASC LOCAL,PLAST,ORL,Oftalmo,CAB PESC,EDA Infantil,NEURO,ORT TRAUMA,VASC,,
b32_06,CCARD,URO Infantil,,C TORAX,,C PED,ORL,,ORL,,NEURO,GAST   GDP/VB,VASC,,
b41_07,CCARD,Oftalmo,EDA Infantil,EEF,ORL,GAST FIG,URO litiase,NEURO COLU,ORL,TMO,NEURO,GAST   GDP/VB,VASC,,
b42_08,CCARD,MARCAP Local,URO litiase,,,GAST  OBES,ORL,GAST FIG,ORL,NEURO COLU,NEURO,GAST   GDP/VB,VASC,,Oftalmo
b51_09,CCARD,URO GINECO,Oftalmo,,,CAB PESC,PLAST,C PED,,ORT Mão,NEURO,NEURO COLU,,,
b52_10,,ORT Quadril,,,,,,PROCTO,,,,,,,
b11_11,CCARD,ORT Tumor,,C PED,EDA Infantil,GAST FIG,ORT JOELHO,VASC LOCAL,ORL,,NEURO,URO Onco,VASC,,
b12_12,CCARD,ORT Tumor,ORT OMBRO,GAST  OBES,,GAST   GDP/VB,PROCTO,MARCAP Local,ORL,,NEURO,VASC LOCAL,VASC,,
b21_13,CCARD,URO Andro,URO Func,ORT Pé,ORL,ORT TRAUMA,URO TX,ORT Mão,PLAST,GAST EED,NEURO,GAST EED,,,
b22_14,CCARD,ORT Quadril,,ORT INF,ORL,GAST EED,ORT TRAUMA,GAST EED,,,,,,,
b31_15,CCARD,Oftalmo,PLAST,VASC LOCAL,PLAST,EDA Infantil,ORL,C PED,CAB PESC,ORT JOELHO,NEURO,ORT TRAUMA,VASC,,
b32_16,CCARD,,,C TORAX,ORL,,ORL,C PED,,URO Infantil,NEURO,GAST   GDP/VB,VASC,,
b41_17,CCARD,TMO,Oftalmo,GAST FIG,EDA Infantil,ORL,URO litiase,NEURO COLU,ORL,GAST   GDP/VB,NEURO,VASC,EEF  Local,,
b42_18,CCARD,MARCAP Local,ORL,,URO litiase,GAST FIG,,GAST  OBES,ORL,GAST   GDP/VB,NEURO,NEURO COLU,VASC,Oftalmo,
b51_19,,,Oftalmo,C TORAX,URO GINECO,C PED,PLAST,,CAB PESC,ORT Mão,NEURO,NEURO COLU,,,
b52_20,CCARD,,PLAST,,,C PED,,,CAB PESC,C TORAX,,,,,
b11_21,CCARD,C TRAUMA,,,URO Onco,GAST FIG,ORT JOELHO,C PED,ORL,VASC LOCAL,NEURO,,VASC,,
b12_22,CCARD,MARCAP Local,URO Onco,GAST   GDP/VB,,,,GAST  OBES,ORL,GAST FIG,,VASC LOCAL,VASC,,
b21_23,CCARD,ORT TRAUMA,URO Func,ORT Pé,ORL,ORT TRAUMA,PLAST,ORT Mão,GAST EED,GAST EED,NEURO,URO Andro,,,
b22_24,CCARD,GAST EED,,ORT TRAUMA,PLAST,GAST EED,ORL,,,ORT INF,,,,,
b31_25,CCARD,ORT TRAUMA,ORT JOELHO,PLAST,VASC LOCAL,EDA Infantil,ORL,C PED,PLAST,C TORAX,NEURO,,VASC,,
b32_26,CCARD,URO Infantil,PLAST,C PED,,ORL,ORL,,,C TORAX,NEURO,GAST   GDP/VB,VASC,,
b41_27,CCARD,URO litiase,Oftalmo,GAST FIG,EDA Infantil,EDA ADULTO,ORL,NEURO COLU,ORL,GAST  OBES,NEURO,GAST   GDP/VB,VASC,,
b42_28,CCARD,MARCAP Local,ORL,GAST FIG,URO litiase,GAST  OBES,,,ORL,GAST   GDP/VB,NEURO,NEURO COLU,VASC,,Oftalmo
b51_29,CCARD,ORT Mão,Oftalmo,C PED,URO GINECO,,PLAST,,,C TORAX,NEURO,NEURO COLU,,,
b52_30,CCARD,,,C PED,,GAST EED,ORT TRAUMA,,CAB PESC,C TORAX,,,,,
b11_31,CCARD,C TRAUMA,Oftalmo,C PED,VASC LOCAL,URO Onco,,,ORL,ORT COLUNA,NEURO,,,,
b12_32,CCARD,ORT COLUNA,URO Onco,,,,PROCTO,,ORL,MARCAP Local,,VASC LOCAL,VASC,,
b21_33,CCARD,ORT Mão,URO Andro,ORT Pé,ORL,,URO Func,,GAST EED,GAST EED,NEURO,URO TX,,,
b22_34,CCARD,PLAST,,GAST EED,ORL,ORT Quadril,,ORT INF,GAST EED,,,,,,
b31_35,CCARD,CAB PESC,ORL,VASC LOCAL,ORT JOELHO,ORT TRAUMA,PLAST,C PED,PLAST,C TORAX,NEURO,EDA Infantil,VASC,,
b32_36,,PLAST,ORL,,ORL,C PED,PLAST,,,C TORAX,NEURO,URO Infantil,VASC,,
b41_37,CCARD,GAST FIG,Oftalmo,URO litiase,EDA Infantil,GAST   GDP/VB,ORL,GAST  OBES,ORL,EEF  Local,NEURO,EDA ADULTO,VASC,,
b42_38,CCARD,GAST  OBES,,GAST FIG,,URO litiase,ORL,MARCAP,ORL,NEURO COLU,NEURO,GAST   GDP/VB,VASC,Oftalmo,
b51_39,CCARD,ORT Mão,Oftalmo,,PLAST,,,C PED,CAB PESC,C TORAX,NEURO,URO GINECO,,,
b52_40,CCARD,,,,PLAST,,ORT TRAUMA,C PED,,C TORAX,,,,,
b11_41,CCARD,Anestesia Dor,,GAST FIG,VASC LOCAL,C PED,URO Onco,ORT Tumor,ORL,C TRAUMA,NEURO,,VASC,,
b12_42,,ORT COLUNA,ORT OMBRO,VASC LOCAL,URO Onco,,PROCTO,MARCAP Local,ORL,ORT Tumor,NEURO,,,,
b21_43,CCARD,ORT INF,,URO Func,ORL,PLAST,URO Andro,ORT TRAUMA,GAST EED,ORT Pé,NEURO,GAST EED,,,
