,1,2,3,4,5,6,7,8,9,10,11,12,17,CCA_1,CCA_2
b11_01,CCARD,ORT Tumor,URO Onco,Anestesia Dor,ORT JOELHO,VASC LOCAL,VASC,ORT COLUNA,ORL,C PED,,GAST FIG,,EDA Infantil,Oftalmo
b12_02,CCARD,MARCAP Local,URO Onco,GAST  OBES,ORT OMBRO,PROCTO,VASC,NEURO,ORL,ORT Tumor,,GAST FIG,MARCAP,,
b21_03,CCARD,ORT TRAUMA,URO Andro,URO TX,URO Func,ORT Pé,ORL,ORT TRAUMA,PLAST,NEURO,,GAST EED,,ORT Mão,
b22_04,CCARD,ORT TRAUMA,PLAST (*),ORT Quadril,ORL,ORT TRAUMA,PLAST,NEURO,GAST EED,ORT TRAUMA (*),,GAST EED,,ORT Mão,
b31_05,CCARD,C TORAX,ORT JOELHO,C PED,PLAST,VASC LOCAL,VASC,NEURO,PLAST,CAB PESC,,ORL,,Oftalmo,Oftalmo
b32_06,CCARD,VASC,PLAST,C TORAX,ORT JOELHO,C PED,ORL,URO Infantil,PLAST,NEURO,,GAST   GDP/VB,,,
b41_07,CCARD,GAST FIG,URO litiase,EDA Infantil,ORL,TMO,VASC,NEURO,ORL,GAST   GDP/VB,NEURO COLU,GAST  OBES,EEF,EDA ADULTO,Oftalmo
b42_08,CCARD,MARCAP Local,ORL,GAST   GDP/VB,URO litiase,VASC,ORL,NEURO,,GAST  OBES,NEURO COLU,GAST FIG,MARCAP,,Oftalmo
b51_09,CCARD,C TORAX,URO GINECO,CAB PESC,,PROCTO,PLAST,C PED,PLAST (*),CAB PESC,NEURO COLU,PROCTO,,ORT Mão,Oftalmo
b52_10,CCARD,C PED,PLAST (*),C PED (*),PLAST,ORT TRAUMA,,NEURO,GAST EED,PROCTO,,PROCTO,,,
b11_11,CCARD,ORT Tumor,URO Onco,PROCTO,VASC,C PED,ORT JOELHO,ORT COLUNA,ORL,C TRAUMA,,PROCTO,,EDA Infantil,Oftalmo
b12_12,CCARD,PROCTO,URO Onco,GAST FIG,VASC,VASC LOCAL,ORT OMBRO,ORT Tumor,ORL,MARCAP Local,,GAST  OBES,MARCAP,,
b21_13,CCARD,ORT TRAUMA,ORL,URO Func,URO Andro,ORT Pé,PLAST,ORT TRAUMA,GAST EED,NEURO,,GAST EED,,ORT Mão,
b22_14,CCARD,ORT TRAUMA,ORL,ORT Quadril,PLAST (*),ORT INF,PLAST,NEURO,GAST EED,ORT TRAUMA,,GAST EED,,ORT Mão,
b31_15,CCARD,NEURO,PLAST,ORT TRAUMA,PLAST,CAB PESC,VASC,ORT JOELHO,ORL,C PED,,EDA Infantil,,Oftalmo,Oftalmo
b32_16,CCARD,C TORAX,PLAST,C PED,URO Infantil,ORT JOELHO,VASC,NEURO,ORL,GAST  OBES,,GAST   GDP/VB,,,
b41_17,CCARD,URO litiase,EDA Infantil,GAST FIG,VASC,EEF  Local,ORL,NEURO,ORL,GAST   GDP/VB,NEURO COLU,GAST  OBES,EEF,EDA ADULTO,Oftalmo
b42_18,CCARD,NEURO,URO litiase,GAST FIG,ORL,GAST   GDP/VB,,MARCAP Local,ORL,VASC,NEURO COLU,GAST  OBES,MARCAP,Oftalmo,
b51_19,CCARD,CAB PESC,PLAST,PROCTO,PLAST (*),C TORAX,URO GINECO,CAB PESC,,NEURO,NEURO COLU,PROCTO,,ORT Mão,Oftalmo
b52_20,CCARD,C TORAX,PLAST,C PED,PLAST (*),CAB PESC,,PROCTO,GAST EED,ORT TRAUMA,,PROCTO,,,
b11_21,CCARD,C PED,URO Onco,VASC LOCAL,ORT JOELHO,GAST FIG,VASC,ORT Tumor,ORL,C TRAUMA,,PROCTO,,EDA Infantil,Oftalmo
b12_22,CCARD,NEURO,ORT OMBRO,GAST   GDP/VB,URO Onco,VASC LOCAL,VASC,GAST FIG,ORL,ORT Tumor,,PROCTO,MARCAP,,
b21_23,CCARD,URO Andro,URO TX,ORT TRAUMA,URO Func,ORT Pé,PLAST,NEURO,ORL,ORT TRAUMA,,GAST EED,,ORT Mão,
b22_24,CCARD,ORT INF,ORL,ORT Quadril,PLAST (*),ORT TRAUMA,PLAST,NEURO,GAST EED,ORT TRAUMA,,GAST EED,,ORT Mão,
b31_25,CCARD,C TORAX,ORT JOELHO,ORT TRAUMA,PLAST,C PED,VASC,NEURO,PLAST,VASC LOCAL,,ORL,,Oftalmo,Oftalmo
b32_26,CCARD,C PED,PLAST,GAST  OBES,VASC,C TORAX,URO Infantil,ORT JOELHO,PLAST,NEURO,,GAST   GDP/VB,,,
b41_27,CCARD,NEURO,URO litiase,GAST  OBES,VASC,EDA Infantil,ORL,TMO,ORL,GAST FIG,NEURO COLU,GAST   GDP/VB,EEF,EDA ADULTO,Oftalmo
b42_28,CCARD,MARCAP Local,ORL,GAST FIG,VASC,GAST  OBES,,NEURO,ORL,GAST   GDP/VB,NEURO COLU,URO litiase,MARCAP,Oftalmo,
b51_29,CCARD,CAB PESC,URO GINECO,C PED,,C TORAX,PLAST (*),PROCTO,PLAST,CAB PESC,NEURO COLU,PROCTO,,ORT Mão,Oftalmo
b52_30,CCARD,ORT TRAUMA,PLAST,C PED,,PROCTO,PLAST (*),NEURO,GAST EED,CAB PESC,,PROCTO,,,
b11_31,CCARD,C PED,URO Onco,ORT Tumor,VASC,VASC LOCAL,ORT JOELHO,GAST FIG,ORL,C TRAUMA,,PROCTO,,EDA Infantil,Oftalmo
b12_32,CCARD,ORT COLUNA,URO Onco,GAST FIG,VASC,GAST  OBES,ORT OMBRO,ORT Tumor,ORL,VASC LOCAL,,PROCTO,MARCAP,,
b21_33,CCARD,ORT TRAUMA,PLAST,ORT INF,ORL,ORT Pé,URO Andro,ORT TRAUMA,GAST EED,NEURO,,URO Func,,ORT Mão,
b22_34,CCARD,ORT TRAUMA,PLAST (*),ORT Quadril,ORL,ORT TRAUMA,PLAST,NEURO,GAST EED,ORT INF,,GAST EED,,ORT Mão,
b31_35,CCARD,C PED,Oftalmo,ORT JOELHO,VASC,CAB PESC,PLAST,C TORAX,PLAST,ORT TRAUMA,,ORL,,EDA Infantil,Oftalmo
b32_36,CCARD,C PED,PLAST,ORL,URO Infantil,ORL,VASC,GAST  OBES,PLAST,C TORAX,,GAST   GDP/VB,,,
b41_37,CCARD,GAST  OBES,EDA Infantil,EEF  Local,VASC,GAST   GDP/VB,ORL,URO litiase,ORL,NEURO,NEURO COLU,GAST FIG,EEF,EDA ADULTO,Oftalmo
b42_38,CCARD,NEURO,,GAST   GDP/VB,ORL,VASC,URO litiase,GAST FIG,ORL,MARCAP Local,NEURO COLU,GAST  OBES,MARCAP,Oftalmo,
b51_39,CCARD,C PED,PLAST,CAB PESC,PLAST (*),C TORAX,URO GINECO,PROCTO,,CAB PESC,NEURO COLU,PROCTO,,ORT Mão,Oftalmo
b52_40,CCARD,NEURO,PLAST (*),C TORAX,PLAST,ORT TRAUMA,,C PED,GAST EED,CAB PESC,,PROCTO,,,
b11_41,CCARD,VASC LOCAL,ORT JOELHO,Anestesia Dor,URO Onco,C PED,VASC,ORT Tumor,ORL,NEURO,,PROCTO,,EDA Infantil,Oftalmo
b12_42,CCARD,GAST FIG,ORT OMBRO,MARCAP Local,URO Onco,ORT Tumor,VASC,GAST   GDP/VB,ORL,ORT COLUNA,,PROCTO,MARCAP,,
b21_43,CCARD,NEURO,URO TX,ORT Pé,PLAST,URO Andro,ORL,ORT TRAUMA,GAST EED,ORT TRAUMA,,URO Func,,ORT Mão,
b22_44,CCARD,NEURO,PLAST (*),ORT TRAUMA,ORL,ORT TRAUMA (*),PLAST,ORT TRAUMA,GAST EED,ORT INF,,GAST EED,,ORT Mão,
