,Specialty,Deficit
0,C PED,-0.0
1,C PED (*),-0.0
2,PLAST,-0.0
3,PLAST (*),-0.0
4,C TORAX,3.0
5,C TRAUMA,2.0
6,CAB PESC,2.0
7,CCARD,2.0
8,EDA ADULTO,-0.0
9,EDA Infantil,-0.0
10,EEF,0.0
11,GAST FIG,-0.0
12,GAST   GDP/VB,-0.0
13,GAST EED,-0.0
14,GAST  OBES,-0.0
15,Anestesia Dor,-0.0
16,MARCAP Local,-0.0
17,VASC LOCAL,4.0
18,EEF  Local,-0.0
19,MARCAP,0.0
20,NEURO,9.0
21,NEURO COLU,0.0
22,TMO,-0.0
23,Oftalmo,3.0
24,ORL,4.0
25,ORT Tumor,7.0
26,ORT Pé,-0.0
27,ORT TRAUMA,6.0
28,ORT JOELHO,1.0
29,ORT TRAUMA (*),-0.0
30,ORT INF,-0.0
31,ORT Mão,-0.0
32,ORT Quadril,-0.0
33,ORT COLUNA,-0.0
34,ORT OMBRO,-0.0
35,PROCTO,6.0
36,URO Onco,4.0
37,URO Func,2.0
38,URO Andro,1.0
39,URO litiase,-0.0
40,URO GINECO,-0.0
41,URO Infantil,0.0
42,URO TX,-0.0
43,VASC,-0.0
