,1,2,3,4,5,6,7,8,9,10,11,12,17,CCA_1,CCA_2
b11_01,CCARD,VASC LOCAL,ORT JOELHO,PROCTO,ORT JOELHO,C PED,ORT JOELHO,ORT TRAUMA,GAST EED,GAST FIG,NEURO COLU,GAST EED,,Oftalmo,Oftalmo
b12_02,CCARD,ORT Mão,URO Onco,ORL,PLAST,ORL,PROCTO,ORT Mão,CAB PESC,C PED,NEURO,GAST  OBES,VASC,,
b21_03,CCARD,NEURO,EDA Infantil,URO Onco,ORL,ORL,ORT JOELHO,GAST EED,PLAST,C TORAX,NEURO COLU,VASC LOCAL,VASC,EDA Infantil,Oftalmo
b22_04,CCARD,ORT TRAUMA,URO litiase,ORT TRAUMA,VASC LOCAL,ORT COLUNA,ORT TRAUMA,GAST  OBES,CAB PESC,NEURO,NEURO,GAST  OBES,VASC,,
b31_05,CCARD,ORT TRAUMA,URO Infantil,GAST FIG,URO Onco,GAST FIG,PROCTO,ORT TRAUMA,GAST EED,GAST FIG,NEURO,URO Onco,VASC,EDA Infantil,Oftalmo
b32_06,CCARD,C TORAX,PLAST,ORT Mão,EDA Infantil,GAST EED,ORL,ORT TRAUMA,CAB PESC,ORT Tumor,NEURO COLU,GAST EED,VASC,,
b41_07,CCARD,ORT Tumor,ORL,PROCTO,URO Func,C PED,PLAST,GAST EED,PLAST,URO Func,NEURO,GAST EED,,Oftalmo,Oftalmo
b42_08,CCARD,PROCTO,ORT OMBRO,C TORAX,ORT JOELHO,ORL,ORT TRAUMA,PLAST,ORL,C TORAX,NEURO,GAST FIG,VASC,,
b51_09,CCARD,ORT INF,PLAST,VASC LOCAL,ORL,PROCTO,PLAST,ORT TRAUMA,CAB PESC,ORT Pé,NEURO,VASC LOCAL,VASC,ORT Mão,Oftalmo
b52_10,CCARD,C PED,EDA Infantil,ORL,ORL,ORT Tumor,PROCTO,NEURO,GAST EED,C PED,NEURO COLU,GAST   GDP/VB,VASC,,
b11_11,CCARD,C TORAX,ORL,C PED,URO GINECO,ORT Pé,PROCTO,ORT Pé,ORL,C PED,NEURO COLU,PROCTO,VASC,EDA Infantil,Oftalmo
b12_12,CCARD,ORT TRAUMA,ORL,GAST FIG,ORL,GAST EED,PROCTO,PROCTO,PLAST,C TORAX,NEURO,GAST  OBES,,,
b21_13,CCARD,NEURO,PLAST,PLAST,ORT JOELHO,MARCAP Local,URO TX,C TRAUMA,CAB PESC,C TRAUMA,NEURO,ORT TRAUMA,MARCAP,ORT Mão,Oftalmo
b22_14,CCARD,VASC LOCAL,URO Onco,ORT Tumor,ORL,ORL,ORL,NEURO,CAB PESC,VASC LOCAL,NEURO COLU,ORL,,,
b31_15,CCARD,GAST   GDP/VB,URO Infantil,GAST   GDP/VB,VASC LOCAL,ORT TRAUMA,PLAST,ORT COLUNA,PLAST,Anestesia Dor,NEURO COLU,ORT TRAUMA,EEF  Local,ORT Mão,Oftalmo
b32_16,CCARD,C PED,ORT JOELHO,ORT TRAUMA,ORL,C TORAX,ORL,TMO,PLAST,PLAST,NEURO,GAST FIG,VASC,,
b41_17,CCARD,C TORAX,ORL,GAST FIG,URO litiase,MARCAP Local,URO Onco,PROCTO,PLAST,PROCTO,NEURO,URO litiase,VASC,EDA Infantil,Oftalmo
b42_18,CCARD,GAST  OBES,ORT OMBRO,GAST FIG,PLAST,ORT Tumor,ORT JOELHO,PROCTO,GAST EED,C TRAUMA,NEURO COLU,GAST   GDP/VB,,,
b51_19,CCARD,CAB PESC,PLAST,GAST   GDP/VB,ORL,PROCTO,PLAST,MARCAP Local,GAST EED,GAST  OBES,NEURO,PROCTO,VASC,Oftalmo,Oftalmo
b52_20,CCARD,ORT Tumor,ORL,C PED,ORL,GAST  OBES,URO litiase,ORT TRAUMA,CAB PESC,URO Onco,NEURO COLU,URO Andro,VASC,,
b11_21,CCARD,CAB PESC,URO Onco,GAST   GDP/VB,URO Infantil,ORT TRAUMA,ORL,C PED,PLAST,C TORAX,NEURO,PROCTO,,Oftalmo,Oftalmo
b12_22,CCARD,GAST  OBES,ORL,GAST EED,URO litiase,PROCTO,PROCTO,MARCAP Local,CAB PESC,URO Onco,NEURO COLU,GAST  OBES,VASC,,
b21_23,CCARD,CCARD,PLAST,ORL,ORL,ORT TRAUMA,ORT JOELHO,ORT Pé,CAB PESC,GAST EED,NEURO,VASC LOCAL,VASC,Oftalmo,Oftalmo
b22_24,CCARD,ORT Quadril,ORL,GAST FIG,PLAST,ORT TRAUMA,URO litiase,C PED,ORL,ORT Tumor,NEURO,ORL,,,
b31_25,CCARD,ORT Tumor,ORL,GAST   GDP/VB,PLAST,ORT INF,ORL,ORT Pé,CAB PESC,ORT COLUNA,NEURO,GAST  OBES,VASC,EDA Infantil,Oftalmo
b32_26,CCARD,ORT Tumor,ORL,PROCTO,URO litiase,ORT TRAUMA,ORL,C PED,GAST EED,C TORAX,NEURO,GAST  OBES,VASC,,
b41_27,CCARD,NEURO,PLAST,GAST   GDP/VB,URO Func,C PED,ORT JOELHO,C PED,GAST EED,C TORAX,NEURO,ORT TRAUMA,VASC,ORT Mão,Oftalmo
b42_28,CCARD,C PED,URO Andro,TMO,PLAST,ORL,ORT TRAUMA,C TRAUMA,CAB PESC,Anestesia Dor,NEURO,URO TX,EEF,,
b51_29,CCARD,CCARD,URO Func,GAST FIG,PLAST,ORT TRAUMA,ORL,GAST  OBES,GAST EED,ORL,NEURO,ORL,VASC,Oftalmo,Oftalmo
b52_30,CCARD,GAST FIG,URO Andro,ORT Tumor,ORL,ORT TRAUMA,ORT TRAUMA,MARCAP Local,GAST EED,NEURO,NEURO COLU,EDA Infantil,VASC,,
b11_31,CCARD,ORT Tumor,ORL,PROCTO,VASC LOCAL,PROCTO,URO Andro,ORT INF,CAB PESC,NEURO,NEURO,ORT TRAUMA,,EDA Infantil,Oftalmo
b12_32,CCARD,GAST FIG,URO Andro,GAST   GDP/VB,URO litiase,MARCAP Local,PLAST,C PED,CAB PESC,C TORAX,NEURO,ORT TRAUMA,VASC,,
b21_33,CCARD,CAB PESC,URO Onco,ORT TRAUMA,ORT JOELHO,C TRAUMA,PLAST,GAST FIG,ORL,C PED,NEURO,ORL,VASC,EDA Infantil,Oftalmo
b22_34,CCARD,C TORAX,ORL,CAB PESC,URO Func,GAST   GDP/VB,ORT TRAUMA,ORT TRAUMA,GAST EED,ORL,NEURO,GAST FIG,VASC,,
b31_35,CCARD,C PED,PLAST,ORL,URO Onco,ORT Tumor,URO Onco,ORT COLUNA,PLAST,ORT INF,NEURO,ORL,VASC,EDA Infantil,Oftalmo
b32_36,CCARD,PLAST,Oftalmo,GAST   GDP/VB,VASC LOCAL,ORT Tumor,PROCTO,C TORAX,CAB PESC,ORT TRAUMA,NEURO,GAST   GDP/VB,VASC,,
b41_37,CCARD,ORT Quadril,URO Func,C TORAX,VASC LOCAL,ORT Tumor,URO Onco,ORT Tumor,PLAST,C PED,NEURO,PROCTO,VASC,EDA ADULTO,Oftalmo
b42_38,CCARD,MARCAP Local,URO TX,ORL,PLAST,GAST EED,ORT TRAUMA,C PED,GAST EED,C PED,NEURO COLU,GAST FIG,VASC,,
b51_39,CCARD,NEURO,URO GINECO,GAST FIG,VASC LOCAL,ORT TRAUMA,ORT TRAUMA,PROCTO,PLAST,PROCTO,NEURO,URO Infantil,VASC,EDA Infantil,Oftalmo
b52_40,CCARD,ORL,URO GINECO,PROCTO,URO GINECO,C TRAUMA,URO Andro,URO Onco,CAB PESC,C TORAX,NEURO,GAST FIG,VASC,,
b11_41,CCARD,GAST   GDP/VB,PLAST,URO Onco,PLAST,PLAST,ORT JOELHO,PROCTO,PLAST,GAST EED,NEURO,ORT TRAUMA,VASC,ORT Mão,Oftalmo
b12_42,CCARD,GAST  OBES,ORL,ORT Tumor,URO Onco,ORT Quadril,ORL,GAST   GDP/VB,PLAST,GAST  OBES,NEURO COLU,PROCTO,VASC,,
b21_43,CCARD,GAST   GDP/VB,URO Func,ORL,ORL,ORT INF,PROCTO,ORT TRAUMA,GAST EED,ORT Tumor,NEURO COLU,GAST EED,,EDA ADULTO,Oftalmo
b22_44,CCARD,NEURO,ORT JOELHO,GAST FIG,URO litiase,PROCTO,ORL,PLAST,ORL,ORT Quadril,NEURO,ORL,EEF  Local,,
