,Specialty,Number of Blocks
0,CCARD,46
1,VASC LOCAL,13
2,ORT Mão,8
3,NEURO,40
4,ORT TRAUMA,35
5,C TORAX,16
6,ORT Tumor,17
7,PROCTO,31
8,ORT INF,5
9,C PED,21
10,GAST   GDP/VB,15
11,GAST  OBES,14
12,CAB PESC,19
13,ORT Quadril,4
14,GAST FIG,19
15,PLAST,40
16,MARCAP Local,7
17,ORL,57
18,ORT JOELHO,13
19,URO Onco,16
20,EDA Infantil,13
21,URO litiase,9
22,URO Infantil,4
23,ORT OMBRO,2
24,URO Andro,6
25,URO Func,7
26,Oftalmo,29
27,URO TX,3
28,URO GINECO,4
29,GAST EED,24
30,TMO,2
31,ORT COLUNA,4
32,ORT Pé,5
33,C TRAUMA,6
34,Anestesia Dor,2
35,NEURO COLU,14
36,VASC,31
37,MARCAP,1
38,EEF  Local,2
39,EEF,1
40,EDA ADULTO,2
41,Empty blocks,53
