,Specialty,Number of Blocks
0,CCARD,40
1,ORT COLUNA,7
2,PROCTO,15
3,NEURO,17
4,ORT Quadril,3
5,CAB PESC,9
6,PLAST,26
7,TMO,4
8,ORT Tumor,6
9,PLAST (*),2
10,VASC,21
11,MARCAP Local,9
12,URO GINECO,2
13,VASC LOCAL,14
14,GAST  OBES,12
15,ORT INF,5
16,C TORAX,5
17,EDA Infantil,11
18,URO TX,4
19,C PED,13
20,GAST   GDP/VB,16
21,ORL,46
22,Oftalmo,25
23,ORT OMBRO,4
24,EDA ADULTO,4
25,URO Onco,6
26,URO Infantil,2
27,URO litiase,8
28,Anestesia Dor,5
29,EEF  Local,4
30,ORT TRAUMA,7
31,C PED (*),2
32,GAST FIG,7
33,ORT TRAUMA (*),4
34,URO Andro,5
35,ORT JOELHO,11
36,GAST EED,19
37,URO Func,3
38,NEURO COLU,12
39,EEF,2
40,MARCAP,2
41,ORT Mão,12
42,Empty blocks,214
