,Specialty,Number of Blocks
0,CCARD,35
1,ORT COLUNA,5
2,URO Func,3
3,ORT Quadril,5
4,ORT JOELHO,8
5,C TORAX,11
6,NEURO COLU,8
7,GAST FIG,7
8,C TRAUMA,2
9,URO TX,4
10,VASC LOCAL,14
11,EEF,2
12,GAST  OBES,10
13,Anestesia Dor,4
14,Oftalmo,20
15,EDA Infantil,7
16,ORT INF,9
17,PROCTO,19
18,ORT OMBRO,3
19,PLAST,26
20,ORL,44
21,URO litiase,5
22,EDA ADULTO,4
23,C PED,17
24,ORT TRAUMA,14
25,MARCAP Local,9
26,GAST   GDP/VB,10
27,ORT Tumor,3
28,TMO,4
29,CAB PESC,12
30,URO Andro,3
31,URO Onco,3
32,VASC,17
33,URO GINECO,4
34,ORT Mão,8
35,GAST EED,17
36,ORT Pé,1
37,NEURO,41
38,URO Infantil,2
39,EEF  Local,4
40,MARCAP,2
41,Empty blocks,219
